latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-15.59622,131.33017,315.88,1.01,1,2025-05-17,0033,T,69,6.1NRT,298.99,8.99,D
-16.40649,137.58269,308.69,2.41,1.5,2025-05-17,0033,T,46,6.1NRT,296.86,18.63,D
-15.02339,127.28097,310.73,1.35,1.15,2025-05-17,0033,T,60,6.1NRT,298.52,8.31,D
-14.95842,126.80832,315.41,1.45,1.19,2025-05-17,0033,T,69,6.1NRT,298.43,15.21,D
-15.03357,127.27938,309.32,1.35,1.15,2025-05-17,0033,T,51,6.1NRT,297.5,6.64,D
-16.40876,137.3624,309.91,2.31,1.47,2025-05-17,0033,T,59,6.1NRT,297.61,19.66,D
-14.96893,126.80648,309.84,1.45,1.19,2025-05-17,0033,T,23,6.1NRT,297.86,7.61,D
-14.9475,126.60413,309.41,1.5,1.21,2025-05-17,0033,T,54,6.1NRT,297.39,8.17,D
-16.4181,137.21338,327.56,2.25,1.45,2025-05-17,0033,T,40,6.1NRT,298.68,59.43,D
-14.95175,126.56191,311.48,1.51,1.21,2025-05-17,0033,T,62,6.1NRT,296.03,12.8,D
-15.09978,127.5033,310.53,1.3,1.13,2025-05-17,0033,T,35,6.1NRT,297.52,7.05,D
-15.11258,127.58565,317.02,1.29,1.13,2025-05-17,0033,T,51,6.1NRT,298.45,13.03,D
-15.1216,127.64381,325.11,1.28,1.12,2025-05-17,0033,T,56,6.1NRT,299.78,21.47,D
-16.2463,135.67227,316.41,1.71,1.28,2025-05-17,0033,T,53,6.1NRT,300.38,17.24,D
-16.45532,137.42174,325.51,2.34,1.48,2025-05-17,0033,T,73,6.1NRT,296.01,64.35,D
-16.48833,137.70947,307.02,2.47,1.51,2025-05-17,0033,T,26,6.1NRT,289.59,16.69,D
-14.94658,126.57079,311.33,1.51,1.21,2025-05-17,0033,T,58,6.1NRT,297.3,11.6,D
-15.12333,127.64931,326.21,1.28,1.12,2025-05-17,0033,T,81,6.1NRT,299.75,24.37,D
-15.10308,127.46018,324.29,1.31,1.14,2025-05-17,0033,T,80,6.1NRT,297.77,26.38,D
-15.10499,127.47208,330.23,1.31,1.13,2025-05-17,0033,T,85,6.1NRT,298.6,36.03,D
-15.12764,127.61279,313.29,1.28,1.12,2025-05-17,0033,T,39,6.1NRT,298.66,8.3,D
-15.12952,127.62448,315.28,1.28,1.12,2025-05-17,0033,T,60,6.1NRT,298.9,10.42,D
-15.1498,127.75106,311.33,1.26,1.11,2025-05-17,0033,T,56,6.1NRT,299.78,6.21,D
-16.24638,135.68239,312.81,1.71,1.28,2025-05-17,0033,T,55,6.1NRT,300.59,11.04,D
-16.41922,137.22859,327.44,2.26,1.46,2025-05-17,0033,T,55,6.1NRT,299.45,61.06,D
-14.9946,126.7289,320.47,1.47,1.2,2025-05-17,0033,T,76,6.1NRT,297.46,25.33,D
-14.99674,126.74197,313.87,1.46,1.2,2025-05-17,0033,T,67,6.1NRT,297.81,14.18,D
-15.57133,130.44908,316.3,1,1,2025-05-17,0033,T,69,6.1NRT,300.97,8.24,D
-15.57266,130.45824,317.02,1,1,2025-05-17,0033,T,70,6.1NRT,301.65,8.76,D
-16.25779,135.681,313.02,1.71,1.28,2025-05-17,0033,T,42,6.1NRT,300.53,11.93,D
-16.45264,137.41644,312.37,2.34,1.48,2025-05-17,0033,T,28,6.1NRT,295.55,23.53,D
-16.46578,137.41504,319.07,2.34,1.48,2025-05-17,0033,T,75,6.1NRT,295.55,44.26,D
-16.46814,137.43675,317.79,2.35,1.48,2025-05-17,0033,T,73,6.1NRT,297.31,40.14,D
-16.47998,137.54599,307.66,2.4,1.49,2025-05-17,0033,T,40,6.1NRT,297.19,13.83,D
-15.14816,127.54938,311.18,1.29,1.13,2025-05-17,0033,T,61,6.1NRT,298.47,7.97,D
-15.16111,127.63103,314.01,1.28,1.12,2025-05-17,0033,T,67,6.1NRT,298.82,10.4,D
-16.45802,137.22411,311.98,2.26,1.46,2025-05-17,0033,T,54,6.1NRT,298.89,18.27,D
-16.46031,137.2448,310.52,2.27,1.46,2025-05-17,0033,T,38,6.1NRT,298.46,14.49,D
-15.19089,127.75548,312.81,1.25,1.11,2025-05-17,0033,T,64,6.1NRT,299.6,6.93,D
-15.19448,127.77829,312.25,1.25,1.11,2025-05-17,0033,T,60,6.1NRT,299.82,6.08,D
-15.70437,131.18636,314.66,1.01,1,2025-05-17,0033,T,33,6.1NRT,300.09,5.48,D
-15.70567,131.19553,314.59,1.01,1,2025-05-17,0033,T,29,6.1NRT,299.98,5.59,D
-15.72344,131.19292,331.06,1.01,1,2025-05-17,0033,T,85,6.1NRT,301.86,22.81,D
-15.72475,131.20212,323.43,1.01,1,2025-05-17,0033,T,66,6.1NRT,299.72,14.01,D
-16.52666,137.36557,307.33,2.32,1.47,2025-05-17,0033,T,32,6.1NRT,296.37,11.25,D
-16.54965,137.45006,308.94,2.36,1.48,2025-05-17,0033,T,35,6.1NRT,297.34,15.02,D
-15.74921,131.17319,320.85,1.01,1,2025-05-17,0033,T,76,6.1NRT,300.56,13.62,D
-15.75051,131.18239,322.48,1.01,1,2025-05-17,0033,T,78,6.1NRT,300.12,15.04,D
-16.52804,137.27281,308.97,2.29,1.46,2025-05-17,0033,T,29,6.1NRT,298.45,12.54,D
-16.6137,137.5683,311.4,2.42,1.5,2025-05-17,0033,T,61,6.1NRT,295.13,21.66,D
-16.6162,137.59077,312.77,2.43,1.5,2025-05-17,0033,T,64,6.1NRT,297.05,26.25,D
-16.51729,136.50153,310.16,1.99,1.38,2025-05-17,0033,T,59,6.1NRT,298.36,13.52,D
-15.21075,127.03288,312.79,1.39,1.17,2025-05-17,0033,T,56,6.1NRT,298.44,10.17,D
-16.52116,136.49544,310.7,1.99,1.38,2025-05-17,0033,T,61,6.1NRT,298.66,14.51,D
-16.62122,137.17194,316.56,2.25,1.45,2025-05-17,0033,T,35,6.1NRT,298.05,28.94,D
-15.06987,125.93105,315.18,1.67,1.27,2025-05-17,0033,T,70,6.1NRT,296.37,22.29,D
-15.07243,125.94641,308.59,1.66,1.27,2025-05-17,0033,T,56,6.1NRT,295.48,11.72,D
-16.63413,137.17049,322.19,2.25,1.45,2025-05-17,0033,T,78,6.1NRT,298.99,48.56,D
-15.23144,126.64842,318.8,1.47,1.2,2025-05-17,0033,T,73,6.1NRT,297.21,20.33,D
-16.79553,137.44685,310.99,2.38,1.49,2025-05-17,0033,T,62,6.1NRT,298.36,19.35,D
-15.80552,129.65962,317.67,1.03,1.01,2025-05-17,0033,T,60,6.1NRT,299.36,10.11,D
-16.79213,137.44183,309.95,2.38,1.49,2025-05-17,0033,T,42,6.1NRT,298.3,15.61,D
-16.8701,137.30092,310.28,2.32,1.47,2025-05-17,0033,T,60,6.1NRT,298.93,15.27,D
-16.88465,137.43057,311.66,2.38,1.49,2025-05-17,0033,T,64,6.1NRT,298.81,21.21,D
